"fips","2020-11-16","2020-11-17","2020-11-18","2020-11-19","2020-11-20","2020-11-21","2020-11-22","2020-11-23","2020-11-24","2020-11-25","2020-11-26","2020-11-27","2020-11-28","2020-11-29","name"
18117,10.6687393188477,10.4698638916016,10.3337249755859,10.2099685668945,10.0930709838867,9.98189544677734,9.87595367431641,9.77489471435547,9.67840576171875,9.58618927001953,9.49800109863281,9.41358947753906,9.33274078369141,9.25527191162109,"Orange , Indiana"
18143,15.9288101196289,15.5306816101074,15.1047859191895,14.6615104675293,14.2123374938965,13.7736282348633,13.36328125,12.9933395385742,12.665901184082,12.3757553100586,12.1156311035156,11.8792953491211,11.6622161865234,11.4612197875977,"Scott , Indiana"
18145,34.2789268493652,32.5870208740234,30.9519271850586,29.4861946105957,28.1793632507324,27.0098991394043,25.9584083557129,25.0085639953613,24.1465873718262,23.3608055114746,22.6412200927734,21.9792327880859,21.3672981262207,20.7988548278809,"Shelby , Indiana"
18149,18.9031524658203,18.4778060913086,18.0625114440918,17.6572723388672,17.2585029602051,16.8618507385254,16.4626693725586,16.0562705993652,15.6383819580078,15.2063636779785,14.761157989502,14.3097381591797,13.8661193847656,13.447868347168,"Starke , Indiana"
18161,7.76045989990234,7.73362731933594,7.71212768554688,7.69293975830078,7.67496490478516,7.6578369140625,7.64134216308594,7.62540435791016,7.61000823974609,7.59510040283203,7.58068084716797,7.56673431396484,7.55323028564453,7.54013824462891,"Union , Indiana"
19017,44.9876518249512,41.365047454834,38.5195465087891,36.1102333068848,34.0224800109863,32.1953010559082,30.5851898193359,29.1579704284668,27.8859710693359,26.7465515136719,25.7209243774414,24.7934074401855,23.9507865905762,23.1818084716797,"Bremer , Iowa"
19019,28.7405052185059,27.562873840332,26.4614601135254,25.4640655517578,24.560489654541,23.7385787963867,22.9875755310059,22.2982597351074,21.6625633239746,21.0734901428223,20.5248489379883,20.0110931396484,19.5271759033203,19.068473815918,"Buchanan , Iowa"
19041,22.9819831848145,22.3215866088867,21.6869735717773,21.0964622497559,20.5463371276855,20.0312614440918,19.5462341308594,19.086597442627,18.6479759216309,18.2261047363281,17.8168296813965,17.4159126281738,17.0189552307129,16.6213264465332,"Clay , Iowa"
19079,29.0858459472656,28.0030136108398,26.8708000183105,25.8349761962891,24.8969612121582,24.0450744628906,23.2680282592773,22.5560340881348,21.9006385803223,21.2944526672363,20.7309799194336,20.2044525146484,19.709659576416,19.241813659668,"Hamilton , Iowa"
19101,18.9707145690918,18.5391883850098,18.1213340759277,17.7146682739258,17.3151779174805,16.9184951782227,16.5199699401855,16.1148719787598,15.6988410949707,15.2688941955566,14.8253021240234,14.3740768432617,13.9282836914062,13.5054016113281,"Jefferson , Iowa"
19137,10.9605712890625,10.7382888793945,10.5869903564453,10.4501724243164,10.3212890625,10.1990127563477,10.0827560424805,9.97209167480469,9.86660766601562,9.76598358154297,9.66988372802734,9.57804107666016,9.49020385742188,9.4061279296875,"Montgomery , Iowa"
19149,36.6551208496094,34.6931381225586,32.8101997375488,31.1314926147461,29.6435012817383,28.3194961547852,27.1355209350586,26.0715942382812,25.1110153198242,24.2397651672363,23.4459190368652,22.7193298339844,22.0512275695801,21.4339904785156,"Plymouth , Iowa"
19151,12.2304763793945,11.963752746582,11.7359085083008,11.5288543701172,11.3369750976562,11.1578216552734,10.9898071289062,10.8317489624023,10.6826553344727,10.5417251586914,10.4082565307617,10.2816390991211,10.1613540649414,10.0469284057617,"Pocahontas , Iowa"
19159,2.85511779785156,2.94696807861328,3.02517700195312,3.10362243652344,3.18148040771484,3.25876617431641,3.33543395996094,3.41142272949219,3.48672485351562,3.56130218505859,3.63512420654297,3.70814514160156,3.78035736083984,3.85171508789062,"Ringgold , Iowa"
