Date,driving,transit,walking,y,y-1,y-2,y-3,y-4,y-5
2020-02-24,13.03,22.480000000000004,13.909999999999995,0,0,0,0,0,0
2020-02-25,16.540000000000006,21.090000000000003,12.03,0,0,0,0,0,0
2020-02-26,15.97,16.659999999999997,11.590000000000005,0,0,0,0,0,0
2020-02-27,20.33,16.519999999999996,15.840000000000005,0,0,0,0,0,0
2020-02-28,34.74000000000001,21.709999999999994,40.81999999999999,0,0,0,0,0,0
2020-02-29,32.40000000000001,2.0400000000000063,62.74000000000001,0,0,0,0,0,0
2020-03-01,-4.3599999999999985,-20.92,10.790000000000004,0,0,0,0,0,0
2020-03-02,7.510000000000005,12.189999999999998,9.510000000000003,0,0,0,0,0,0
2020-03-03,17.239999999999995,19.900000000000006,25.08,0,0,0,0,0,0
2020-03-04,13.819999999999993,14.28,11.099999999999996,6,0,0,0,0,0
2020-03-05,22.17,15.14,18.129999999999995,4,6,0,0,0,0
2020-03-06,35.24000000000001,19.090000000000003,39.860000000000014,2,4,6,0,0,0
2020-03-07,26.340000000000003,-2.519999999999996,57.94,1,2,4,6,0,0
2020-03-08,0.0799999999999983,-19.14,30.569999999999997,0,1,2,4,6,0
2020-03-09,3.9200000000000017,6.290000000000006,3.8400000000000034,5,0,1,2,4,6
2020-03-10,4.269999999999996,-5.049999999999997,-2.890000000000001,1,5,0,1,2,4
2020-03-11,5.269999999999996,1.9300000000000068,5.3900000000000015,8,1,5,0,1,2
2020-03-12,1.5699999999999932,-24.52,-20.379999999999995,4,8,1,5,0,1
2020-03-13,1.3799999999999957,-30.56,-10.47,8,4,8,1,5,0
2020-03-14,-18.8,-45.72,-12.209999999999996,13,8,4,8,1,5
2020-03-15,-37.92,-52.61,-31.97,16,13,8,4,8,1
2020-03-16,-28.16,-51.37,-42.0,25,16,13,8,4,8
2020-03-17,-34.010000000000005,-55.35,-41.44,50,25,16,13,8,4
2020-03-18,-37.58,-58.6,-43.77,46,50,25,16,13,8
2020-03-19,-41.42,-63.62,-49.4,41,46,50,25,16,13
2020-03-20,-44.51,-67.84,-51.23,61,41,46,50,25,16
2020-03-21,-53.14,-73.56,-51.67,59,61,41,46,50,25
2020-03-22,-64.31,-77.42,-63.61,70,59,61,41,46,50
2020-03-23,-55.06,-70.78,-57.21,115,70,59,61,41,46
2020-03-24,-55.23,-72.13,-57.49,126,115,70,59,61,41
2020-03-25,-55.31,-72.91,-56.91,137,126,115,70,59,61
2020-03-26,-55.01,-74.07,-57.77,417,137,126,115,70,59
2020-03-27,-50.78,-73.24,-54.33,249,417,137,126,115,70
2020-03-28,-58.18,-77.71000000000002,-57.28,339,249,417,137,126,115
2020-03-29,-65.8,-79.01,-63.4,332,339,249,417,137,126
2020-03-30,-56.81,-73.38,-56.87,338,332,339,249,417,137
2020-03-31,-56.0,-74.42,-57.4,537,338,332,339,249,417
2020-04-01,-54.66,-74.83,-55.31,507,537,338,332,339,249
2020-04-02,-55.56,-75.38,-56.52,527,507,537,338,332,339
2020-04-03,-49.87,-75.02,-51.98,521,527,507,537,338,332
2020-04-04,-56.56,-78.97,-56.18,711,521,527,507,537,338
2020-04-05,-66.65,-81.57,-66.74000000000001,663,711,521,527,507,537
2020-04-06,-60.17,-78.88,-65.02000000000001,420,663,711,521,527,507
2020-04-07,-59.78,-78.81,-64.86,550,420,663,711,521,527
2020-04-08,-59.07,-79.18,-62.02,620,550,420,663,711,521
2020-04-09,-60.74,-81.95,-68.13,425,620,550,420,663,711
2020-04-10,-53.55,-79.46000000000002,-58.57,475,425,620,550,420,663
2020-04-11,-55.13,-79.37,-53.65,443,475,425,620,550,420
2020-04-12,-69.28,-82.97,-70.5,319,443,475,425,620,550
2020-04-13,-56.79,-77.7,-59.78,228,319,443,475,425,620
2020-04-14,-54.38,-77.36,-55.79,627,228,319,443,475,425
2020-04-15,-51.32,-77.21000000000002,-53.46,449,627,228,319,443,475
2020-04-16,-50.98,-77.7,-54.14,358,449,627,228,319,443
2020-04-17,-46.12,-77.37,-50.98,537,358,449,627,228,319
2020-04-18,-50.73,-80.03999999999998,-52.48,630,537,358,449,627,228
2020-04-19,-58.84,-80.74,-59.49,320,630,537,358,449,627
2020-04-20,-50.35,-75.4,-52.49,1475,320,630,537,358,449
2020-04-21,-50.17,-76.16,-53.0,1324,1475,320,630,537,358
2020-04-22,-48.26,-76.32,-51.2,1295,1324,1475,320,630,537
2020-04-23,-46.87,-76.24,-50.59,1073,1295,1324,1475,320,630
2020-04-24,-39.94,-75.75,-45.99,1037,1073,1295,1324,1475,320
2020-04-25,-43.84,-77.78999999999998,-47.26,562,1037,1073,1295,1324,1475
2020-04-26,-53.84,-79.92,-56.76,421,562,1037,1073,1295,1324
2020-04-27,-47.42,-75.47,-51.17,889,421,562,1037,1073,1295
2020-04-28,-45.44,-74.27,-49.18,559,889,421,562,1037,1073
2020-04-29,-44.78,-75.02,-49.8,1509,559,889,421,562,1037
2020-04-30,-42.27,-74.9,-46.96,697,1509,559,889,421,562
2020-05-01,-34.03,-73.23,-39.55,1033,697,1509,559,889,421
2020-05-02,-38.16,-76.07,-40.11,679,1033,697,1509,559,889
2020-05-03,-48.67,-77.8,-50.75,768,679,1033,697,1509,559
2020-05-04,-41.06,-73.32,-44.13,555,768,679,1033,697,1509
2020-05-05,-37.95,-73.58,-42.37,1598,555,768,679,1033,697
2020-05-06,-38.15,-73.05,-42.93,829,1598,555,768,679,1033
2020-05-07,-36.15,-73.01,-41.42,783,829,1598,555,768,679
2020-05-08,-24.36,-71.24,-31.819999999999997,869,783,829,1598,555,768
2020-05-09,-26.120000000000005,-74.32,-28.5,901,869,783,829,1598,555
2020-05-10,-40.74,-78.12,-44.5,480,901,869,783,829,1598
2020-05-11,,-75.92,-49.07,581,480,901,869,783,829
2020-05-12,,-78.82,-52.85,922,581,480,901,869,783
2020-05-13,-32.67,-71.61,-35.18000000000001,1248,922,581,480,901,869
2020-05-14,-29.980000000000004,-72.22,-33.41,901,1248,922,581,480,901
2020-05-15,-18.41,-70.28,-22.36,930,901,1248,922,581,480
2020-05-16,-21.120000000000005,-73.27,-21.700000000000006,1044,930,901,1248,922,581
2020-05-17,-34.86,-75.52,-35.0,671,1044,930,901,1248,922
2020-05-18,-32.290000000000006,-71.53,-36.82,477,671,1044,930,901,1248
2020-05-19,-25.959999999999994,-70.12,-28.33,1122,477,671,1044,930,901
2020-05-20,-24.17,-69.77,-27.099999999999994,1284,1122,477,671,1044,930
2020-05-21,-21.27,-68.78,-25.55,1180,1284,1122,477,671,1044
2020-05-22,-9.39,-67.25999999999999,-14.840000000000005,1015,1180,1284,1122,477,671
2020-05-23,-16.58,-70.95,-17.010000000000005,1003,1015,1180,1284,1122,477
2020-05-24,-28.19,-74.05,-29.069999999999997,933,1003,1015,1180,1284,1122
2020-05-25,-32.22,-71.32,-31.590000000000003,1030,933,1003,1015,1180,1284
